"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-21",,"62","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-22",,"58","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-23",,"49","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-24",,"47","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-25",,"60","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-26",,"53","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-27",,"46","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-28",,"33","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-29",,"38","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-30",,"47","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-31",,"66","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-01",,"61","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-02",,"54","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-03",,"48","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-04",,"54","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-05",,"57","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-06",,"53","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-07",,"54","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-08",,"65","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-09",,"55","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-10",,"50","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-11",,"61","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-12",,"72","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-13",,"71","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-14",,"79","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-15",,"70","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-16",,"73","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-17",,"51","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-18",,"54","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-19",,"50","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-20",,"60","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-21",,"59","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-22",,"70","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-23",,"65","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-24",,"63","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-25",,"58","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-26",,"60","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-27",,"58","41"
